path,bytes_before,bytes_after,delta_bytes,mb_before,mb_after,status
.DS_Store,22532,0,-22532,0.023,0.0,deleted
.git,0,10810176,10810176,0.0,10.81,added
.gitignore,160,212,52,0.0,0.0,changed
.venv,0,168286300,168286300,0.0,168.286,added
CITATION.cff,1659,1659,0,0.002,0.002,unchanged
CLEANUP_REPORT.md,0,6636,6636,0.0,0.007,added
LICENSE,1113,1113,0,0.001,0.001,unchanged
LICENSE-DATA,992,992,0,0.001,0.001,unchanged
README.md,11902,12405,503,0.012,0.012,changed
REPRODUCE.md,0,4640,4640,0.0,0.005,added
data,19608784,19608784,0,19.609,19.609,unchanged
docs,3093127,2440649,-652478,3.093,2.441,changed
pyproject.toml,0,920,920,0.0,0.001,added
release,1545642,1545642,0,1.546,1.546,unchanged
requirements-full.txt,652,0,-652,0.001,0.0,deleted
requirements.txt,284,0,-284,0.0,0.0,deleted
results,10976962,10976962,0,10.977,10.977,unchanged
scripts,364724,364814,90,0.365,0.365,changed
to_be_deleted,238114,875140,637026,0.238,0.875,changed
uv.lock,0,809809,809809,0.0,0.81,added
weights,2822645275,2822645275,0,2822.645,2822.645,unchanged
TOTAL,2858511922,3038392128,179880206,2858.512,3038.392,-
